Item_id,Month_sales,month
4261,31.0,31
12752,10.0,31
13556,10.0,31
12805,7.0,31
12828,16.0,31
12830,9.0,31
13594,1.0,31
12889,14.0,31
12899,56.0,31
12912,44.0,31
12927,11.0,31
12935,19.0,31
12964,9.0,31
12970,20.0,31
12974,17.0,31
13697,38.0,31
13706,11.0,31
13717,77.0,31
13544,11.0,31
13518,6.0,31
13532,27.0,31
13505,146.0,31
13306,3.0,31
13308,56.0,31
13317,15.0,31
13324,5.0,31
13329,11.0,31
13331,34.0,31
13718,51.0,31
13400,21.0,31
13405,1.0,31
13407,38.0,31
13460,36.0,31
13463,10.0,31
13464,41.0,31
13494,9.0,31
13401,12.0,31
13719,24.0,31
13720,22.0,31
13723,22.0,31
14956,7.0,31
14957,25.0,31
14960,11.0,31
14961,9.0,31
14964,12.0,31
14965,6.0,31
14966,5.0,31
14967,9.0,31
14398,26.0,31
13304,4.0,31
14320,5.0,31
14277,7.0,31
13026,2.0,31
13741,27.0,31
13058,4.0,31
13802,13.0,31
13803,4.0,31
13818,10.0,31
13822,69.0,31
13824,43.0,31
13827,33.0,31
14308,29.0,31
13888,18.0,31
13934,17.0,31
13958,32.0,31
14227,141.0,31
14228,65.0,31
14229,48.0,31
14931,31.0,31
14243,12.0,31
14267,12.0,31
13889,24.0,31
14400,21.0,31
13302,24.0,31
13301,20.0,31
11913,27.0,31
12134,59.0,31
11953,27.0,31
11968,7.0,31
12212,3.0,31
11997,29.0,31
12020,87.0,31
12083,15.0,31
12090,20.0,31
12319,4.0,31
12361,39.0,31
12362,30.0,31
13075,7.0,31
12463,15.0,31
12465,24.0,31
11892,7.0,31
11785,76.0,31
11784,142.0,31
11354,761.0,31
11159,202.0,31
11161,28.0,31
11215,11.0,31
11252,16.0,31
12472,48.0,31
8078,6.0,31
11811,43.0,31
11571,18.0,31
11576,15.0,31
11593,31.0,31
11610,3.0,31
11631,2.0,31
11655,39.0,31
11694,11.0,31
11768,4.0,31
11498,26.0,31
13237,16.0,31
13240,12.0,31
13246,175.0,31
13248,7.0,31
13270,4.0,31
13272,17.0,31
13285,36.0,31
13286,41.0,31
13290,15.0,31
13291,14.0,31
13292,26.0,31
13300,30.0,31
13265,16.0,31
13233,18.0,31
13217,39.0,31
12473,24.0,31
12485,7.0,31
12526,4.0,31
12541,11.0,31
12544,5.0,31
12551,9.0,31
12563,6.0,31
13151,14.0,31
13159,82.0,31
13229,5.0,31
12693,8.0,31
12698,1.0,31
12701,4.0,31
13210,56.0,31
13213,20.0,31
13214,34.0,31
13215,3.0,31
13216,32.0,31
12675,54.0,31
14457,17.0,31
14458,79.0,31
15706,12.0,31
