date,date_block_num,shop_id,item_id,item_price,item_cnt_day
15.06.2014,17,26,9532,399.0,1.0
10.06.2014,17,26,9507,149.0,1.0
13.06.2014,17,26,9509,246.32,1.0
03.06.2014,17,26,9532,399.0,1.0
08.06.2014,17,26,9532,399.0,1.0
11.06.2014,17,26,9532,399.0,1.0
25.06.2014,17,26,9801,299.0,1.0
09.06.2014,17,26,9763,49.0,1.0
19.06.2014,17,26,9532,399.0,1.0
20.06.2014,17,26,9532,399.0,1.0
26.06.2014,17,26,10445,399.0,1.0
24.06.2014,17,26,9565,149.0,1.0
10.06.2014,17,26,10184,599.0,1.0
18.06.2014,17,26,9788,199.0,1.0
17.06.2014,17,26,9532,399.0,1.0
21.06.2014,17,26,9164,399.0,1.0
23.06.2014,17,26,9012,399.0,1.0
26.06.2014,17,26,9049,99.0,1.0
23.06.2014,17,26,8976,149.0,1.0
30.06.2014,17,26,9801,299.0,1.0
18.06.2014,17,26,9300,1398.0,1.0
21.06.2014,17,26,8960,58.0,1.0
21.06.2014,17,26,8958,332.66,1.0
18.06.2014,17,26,9301,699.0,1.0
17.06.2014,17,26,9010,199.0,1.0
24.06.2014,17,26,9156,299.0,1.0
11.06.2014,17,26,9017,149.0,1.0
11.06.2014,17,26,9372,248.0,1.0
20.06.2014,17,26,9396,299.0,1.0
20.06.2014,17,26,9398,299.0,1.0
26.06.2014,17,26,9398,299.0,1.0
19.06.2014,17,26,9033,149.0,1.0
10.06.2014,17,26,9049,99.0,1.0
19.06.2014,17,26,9049,99.0,1.0
17.06.2014,17,26,9314,349.0,1.0
02.06.2014,17,26,9806,399.0,1.0
07.06.2014,17,26,10373,28.0,1.0
03.06.2014,17,26,9845,399.0,1.0
07.06.2014,17,26,10331,149.0,1.0
08.06.2014,17,26,10331,149.0,-1.0
07.06.2014,17,26,10334,149.0,1.0
07.06.2014,17,26,10343,149.0,1.0
25.06.2014,17,26,10347,149.0,1.0
07.06.2014,17,26,10348,149.0,1.0
08.06.2014,17,26,10348,149.0,-1.0
01.06.2014,17,26,10308,332.67,1.0
09.06.2014,17,26,10401,524.36,1.0
09.06.2014,17,26,10378,149.0,1.0
26.06.2014,17,26,10378,149.0,1.0
13.06.2014,17,26,10401,575.84,1.0
16.06.2014,17,26,10388,199.0,1.0
30.06.2014,17,26,8903,28.0,1.0
16.06.2014,17,26,10390,199.0,1.0
16.06.2014,17,26,10391,199.0,1.0
09.06.2014,17,26,10376,399.0,1.0
06.06.2014,17,26,9806,399.0,-1.0
16.06.2014,17,26,10164,199.0,1.0
16.06.2014,17,26,10160,199.0,1.0
15.06.2014,17,26,9845,399.0,1.0
25.06.2014,17,26,9862,399.0,1.0
23.06.2014,17,26,9863,699.0,1.0
07.06.2014,17,26,9950,149.0,1.0
27.06.2014,17,26,9964,399.0,1.0
28.06.2014,17,26,9964,399.0,2.0
04.06.2014,17,26,9983,149.0,1.0
16.06.2014,17,26,10161,199.0,1.0
18.06.2014,17,26,10265,299.0,1.0
01.06.2014,17,26,10021,499.0,1.0
29.06.2014,17,26,10021,399.2,1.0
27.06.2014,17,26,10046,399.0,1.0
02.06.2014,17,26,10100,749.0,-1.0
02.06.2014,17,26,10101,749.0,-1.0
02.06.2014,17,26,10097,749.0,-1.0
16.06.2014,17,26,10159,199.0,1.0
10.06.2014,17,26,10020,399.0,1.0
21.06.2014,17,26,8885,299.0,1.0
28.06.2014,17,26,7834,799.0,2.0
14.06.2014,17,26,8863,249.0,1.0
23.06.2014,17,26,7837,2999.0,1.0
27.06.2014,17,26,7838,2599.0,1.0
26.06.2014,17,26,7860,399.0,1.0
01.06.2014,17,26,7856,799.0,2.0
05.06.2014,17,26,7856,799.0,1.0
06.06.2014,17,26,7856,799.0,2.0
11.06.2014,17,26,7856,799.0,1.0
19.06.2014,17,26,7837,2999.0,1.0
18.06.2014,17,26,7856,799.0,1.0
22.06.2014,17,26,7856,799.0,1.0
26.06.2014,17,26,7856,799.0,1.0
28.06.2014,17,26,7856,799.0,1.0
15.06.2014,17,26,7893,1790.0,1.0
08.06.2014,17,26,7894,1390.0,1.0
12.06.2014,17,26,7894,1390.0,1.0
22.06.2014,17,26,7894,1490.0,2.0
19.06.2014,17,26,7856,799.0,1.0
24.06.2014,17,26,7894,1490.0,1.0
13.06.2014,17,26,7837,2999.0,1.0
04.06.2014,17,26,7837,2999.0,1.0
09.06.2014,17,26,7834,799.0,1.0
10.06.2014,17,26,7834,799.0,1.0
11.06.2014,17,26,7834,799.0,1.0
28.06.2014,17,26,10445,399.0,1.0
07.06.2014,17,26,7834,799.0,1.0
12.06.2014,17,26,7834,799.0,2.0
15.06.2014,17,26,7834,639.0,1.0
12.06.2014,17,26,7837,2999.0,1.0
06.06.2014,17,26,7834,785.666666667,3.0
19.06.2014,17,26,7834,799.0,1.0
21.06.2014,17,26,7834,799.0,1.0
27.06.2014,17,26,7834,799.0,1.0
13.06.2014,17,26,7836,2599.0,1.0
20.06.2014,17,26,7836,2599.0,1.0
21.06.2014,17,26,7836,2599.0,1.0
25.06.2014,17,26,7836,2599.0,1.0
16.06.2014,17,26,7834,799.0,1.0
11.06.2014,17,26,7950,1990.0,1.0
07.06.2014,17,26,7965,1999.0,1.0
09.06.2014,17,26,7968,1049.0,1.0
20.06.2014,17,26,8416,549.0,1.0
11.06.2014,17,26,8656,349.0,1.0
20.06.2014,17,26,8656,349.0,1.0
09.06.2014,17,26,8684,199.0,1.0
09.06.2014,17,26,8686,199.0,1.0
30.06.2014,17,26,8686,199.0,1.0
17.06.2014,17,26,8743,149.0,1.0
06.06.2014,17,26,8411,999.0,1.0
11.06.2014,17,26,8754,399.0,1.0
25.06.2014,17,26,8815,129.0,1.0
25.06.2014,17,26,8818,299.0,1.0
23.06.2014,17,26,8829,69.0,1.0
26.06.2014,17,26,8829,69.0,2.0
26.06.2014,17,26,8830,69.0,2.0
23.06.2014,17,26,8831,69.0,1.0
26.06.2014,17,26,8831,69.0,2.0
27.06.2014,17,26,9226,299.0,1.0
12.06.2014,17,26,8409,849.0,1.0
28.06.2014,17,26,8368,149.0,1.0
04.06.2014,17,26,8368,399.0,1.0
05.06.2014,17,26,7972,2599.0,1.0
16.06.2014,17,26,7972,2599.0,1.0
05.06.2014,17,26,7980,699.0,1.0
16.06.2014,17,26,7980,699.0,1.0
19.06.2014,17,26,7980,699.0,1.0
30.06.2014,17,26,7980,699.0,1.0
11.06.2014,17,26,7976,1299.0,1.0
26.06.2014,17,26,7912,299.0,1.0
05.06.2014,17,26,8089,199.0,1.0
07.06.2014,17,26,8100,399.0,1.0
23.06.2014,17,26,8121,349.0,1.0
23.06.2014,17,26,8169,349.0,1.0
01.06.2014,17,26,8508,649.0,1.0
13.06.2014,17,26,8304,349.0,1.0
29.06.2014,17,26,8315,230.07,1.0
08.06.2014,17,26,8318,199.0,1.0
09.06.2014,17,26,8528,850.0,1.0
10.06.2014,17,26,8874,599.0,1.0
26.06.2014,17,26,10446,749.0,1.0
17.06.2014,17,26,13787,299.0,1.0
04.06.2014,17,26,10625,750.0,1.0
11.06.2014,17,26,12625,199.34,1.0
18.06.2014,17,26,12707,699.0,1.0
24.06.2014,17,26,12708,599.0,1.0
25.06.2014,17,26,13363,299.0,1.0
24.06.2014,17,26,13370,299.0,1.0
30.06.2014,17,26,13373,299.0,1.0
15.06.2014,17,26,13380,299.0,1.0
14.06.2014,17,26,12600,149.0,1.0
10.06.2014,17,26,13397,10490.0,1.0
11.06.2014,17,26,13493,14990.0,1.0
13.06.2014,17,26,13431,6498.0,1.0
24.06.2014,17,26,13521,1999.0,1.0
04.06.2014,17,26,12747,99.0,1.0
01.06.2014,17,26,12778,199.0,1.0
25.06.2014,17,26,12793,149.0,1.0
02.06.2014,17,26,12797,199.0,1.0
18.06.2014,17,26,13397,10490.0,1.0
19.06.2014,17,26,13569,398.0,1.0
22.06.2014,17,26,13172,349.0,1.0
24.06.2014,17,26,13159,199.0,1.0
23.06.2014,17,26,12026,28.0,1.0
13.06.2014,17,26,12027,199.0,1.0
01.06.2014,17,26,12233,349.0,1.0
07.06.2014,17,26,12062,149.0,1.0
25.06.2014,17,26,13071,599.0,1.0
01.06.2014,17,26,12337,332.67,1.0
04.06.2014,17,26,12351,149.0,1.0
03.06.2014,17,26,13161,249.0,1.0
15.06.2014,17,26,12361,149.0,1.0
22.06.2014,17,26,12383,249.0,1.0
03.06.2014,17,26,12397,149.0,1.0
12.06.2014,17,26,12445,599.0,1.0
15.06.2014,17,26,12549,199.0,1.0
15.06.2014,17,26,13144,199.0,1.0
11.06.2014,17,26,13151,199.0,2.0
19.06.2014,17,26,13151,199.0,2.0
17.06.2014,17,26,12380,249.0,1.0
20.06.2014,17,26,11983,399.0,1.0
23.06.2014,17,26,12833,399.0,1.0
26.06.2014,17,26,12833,399.0,1.0
30.06.2014,17,26,13785,199.0,1.0
16.06.2014,17,26,13787,299.0,1.0
15.06.2014,17,26,13812,149.0,1.0
03.06.2014,17,26,13816,249.0,1.0
19.06.2014,17,26,13817,149.0,1.0
16.06.2014,17,26,13825,949.0,2.0
17.06.2014,17,26,13825,899.0,1.0
28.06.2014,17,26,13058,399.0,1.0
18.06.2014,17,26,13826,674.0,1.0
19.06.2014,17,26,13888,349.0,1.0
20.06.2014,17,26,13828,399.0,1.0
20.06.2014,17,26,13851,169.0,1.0
12.06.2014,17,26,13888,349.0,1.0
05.06.2014,17,26,7834,772.333333333,3.0
23.06.2014,17,26,13859,349.0,1.0
04.06.2014,17,26,13888,349.0,1.0
16.06.2014,17,26,13828,399.0,1.0
25.06.2014,17,26,12833,399.0,1.0
20.06.2014,17,26,13058,399.0,1.0
16.06.2014,17,26,13058,399.0,1.0
29.06.2014,17,26,12833,399.0,1.0
06.06.2014,17,26,13577,1099.0,1.0
16.06.2014,17,26,12840,149.0,1.0
17.06.2014,17,26,12898,399.0,1.0
27.06.2014,17,26,12925,199.0,1.0
16.06.2014,17,26,12967,199.0,1.0
16.06.2014,17,26,12972,199.0,1.0
19.06.2014,17,26,13058,399.0,2.0
12.06.2014,17,26,12974,249.0,1.0
02.06.2014,17,26,13613,299.0,1.0
04.06.2014,17,26,12990,199.0,1.0
20.06.2014,17,26,13055,399.0,1.0
12.06.2014,17,26,13057,499.0,1.0
17.06.2014,17,26,13057,499.0,1.0
20.06.2014,17,26,13057,499.0,1.0
15.06.2014,17,26,13058,399.0,1.0
16.06.2014,17,26,12977,199.0,1.0
10.06.2014,17,26,11972,149.0,1.0
12.06.2014,17,26,12135,299.0,1.0
20.06.2014,17,26,12134,299.0,1.0
25.06.2014,17,26,10778,549.0,1.0
03.06.2014,17,26,10784,399.0,1.0
06.06.2014,17,26,10784,399.0,1.0
07.06.2014,17,26,10784,399.0,1.0
12.06.2014,17,26,10784,399.0,2.0
21.06.2014,17,26,10784,399.0,1.0
01.06.2014,17,26,11303,449.0,1.0
21.06.2014,17,26,10778,549.0,1.0
10.06.2014,17,26,11303,449.0,1.0
02.06.2014,17,26,10877,49.0,1.0
17.06.2014,17,26,10926,199.0,1.0
03.06.2014,17,26,11339,349.0,1.0
21.06.2014,17,26,11339,349.0,1.0
06.06.2014,17,26,11020,399.0,1.0
09.06.2014,17,26,11020,399.0,1.0
11.06.2014,17,26,11020,399.0,1.0
02.06.2014,17,26,10875,49.0,1.0
13.06.2014,17,26,11020,399.0,1.0
23.06.2014,17,26,10777,399.0,1.0
03.06.2014,17,26,10725,148.0,1.0
09.06.2014,17,26,10625,750.0,1.0
11.06.2014,17,26,10626,850.0,1.0
05.06.2014,17,26,10647,650.0,1.0
29.06.2014,17,26,10660,999.0,1.0
25.06.2014,17,26,10669,750.0,1.0
22.06.2014,17,26,10671,650.0,1.0
11.06.2014,17,26,10676,750.0,1.0
07.06.2014,17,26,10768,349.0,1.0
04.06.2014,17,26,10688,750.0,1.0
10.06.2014,17,26,10487,399.0,1.0
26.06.2014,17,26,10487,399.0,1.0
23.06.2014,17,26,10498,999.0,1.0
23.06.2014,17,26,10499,1499.0,1.0
21.06.2014,17,26,10501,199.0,1.0
03.06.2014,17,26,10502,199.0,1.0
04.06.2014,17,26,10718,399.0,1.0
29.06.2014,17,26,10456,349.0,1.0
25.06.2014,17,26,11020,399.0,1.0
06.06.2014,17,26,11099,149.0,1.0
